代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
000028,国药一致,19.77,19.76,19.77,19.77,19.69,19.82,19.64,783181.0,15467360.0,0.0,0.0,19.77,22.260916666666663,-11.189641037543364,True,2026-09-17,11.051371681415926,0.6512241887905603,30.28135431568908,0.4768717215069146,True,2026-09-17,12103620716.10767,,,,正常,12103620716.10767,3.115832068791098,True,2026-06-24,,医药流通,
000030,富奥股份,3.97,3.97,3.98,3.96,3.94,4.01,3.93,8838103.0,35056745.0,0.253,0.01,3.97,4.491416666666667,-11.60918047386682,True,2026-09-17,10.278100961538453,0.820721153846154,13.967803030303031,0.4734848484848485,True,2026-09-17,6827649054.459136,,,,正常,6827649054.459136,3.778337531486146,True,2026-06-26,,底盘与发动机系统,
000157,中联重科,6.16,6.15,6.16,6.22,6.19,6.23,6.12,37800231.0,232819858.0,-0.965,-0.06,6.16,7.451499999999999,-17.332080789102854,True,2026-09-17,12.295490716180367,0.9395225464190982,26.325757575757574,21.117424242424242,True,2026-09-17,53274977053.40058,,,,正常,53274977053.40058,6.493506493506494,True,2026-07-22,,工程机械整机,
000513,丽珠集团,26.24,26.24,26.25,26.23,26.48,26.48,26.1,2261178.0,59332846.0,0.038,0.01,26.24,30.619916666666665,-14.304143000606906,True,2026-09-17,11.868633235004916,1.7630940675188462,9.469696969696969,0.7575757575757576,True,2026-09-17,23298684166.859417,,,,正常,23298684166.859417,5.44969512195122,True,2026-06-16,,化学制剂,
000521,长虹美菱,4.39,4.39,4.4,4.36,4.37,4.4,4.34,5639841.0,24632081.0,0.688,0.03,4.39,5.349583333333333,-17.937534075862615,True,2026-09-17,15.120103305785127,0.7709710743801648,35.9465737514518,34.86281929990539,False,2026-09-17,4521365109.212813,,,,正常,4521365109.212813,4.78359908883827,True,2026-06-23,,冰洗,
000528,柳 工,7.66,7.65,7.66,7.73,7.67,7.77,7.62,26902060.0,206581399.0,-0.906,-0.07,7.66,8.660666666666664,-11.554152875067325,True,2026-09-17,10.016233918128654,0.851111111111111,14.56953642384106,18.401135288552506,True,2026-09-17,15609803353.939177,,,,正常,15609803353.939177,4.242569190600522,True,2026-06-04,,工程机械整机,
000568,泸州老窖,71.65,71.64,71.65,72.35,72.07,72.6,71.29,5504592.0,394403670.0,-0.968,-0.7,71.65,88.01291666666665,-18.591494619634407,True,2026-09-17,10.599258620689664,2.042436781609196,0.23651844843897823,0.04730368968779565,True,2026-09-17,105461739823.94997,,,,正常,105461739823.94997,8.060183531053731,True,2026-08-28,,白酒Ⅲ,
000600,建投能源,7.21,7.21,7.22,7.35,7.32,7.36,7.16,19572704.0,141518980.0,-1.905,-0.14,7.21,9.066166666666668,-20.47355552695922,True,2026-09-17,6.391065573770496,1.0722131147540992,0.0612369871402327,69.1119691119691,True,2026-09-17,13001319850.926226,,,,正常,13001319850.926226,4.438280166435506,True,2026-06-03,,火电,
000683,博源化工,5.73,5.72,5.73,5.76,5.75,5.8,5.7,42765880.0,245266808.0,-0.521,-0.03,5.73,6.937916666666666,-17.41036574379916,True,2026-09-17,20.81808612440192,1.7911961722488068,79.2732855680655,62.74976213130352,False,2026-09-17,21297444838.617214,,,,正常,21297444838.617214,5.235602094240837,True,2026-07-07,,纯碱,
000786,北新建材,15.71,15.7,15.71,15.85,15.74,15.82,15.61,11873882.0,186494605.0,-0.883,-0.14,15.71,20.92983333333333,-24.939679404996053,True,2026-09-17,9.327064499746058,0.997333671914678,3.5646387832699618,0.04752851711026616,True,2026-09-17,26742128219.835968,,,,正常,26742128219.835968,4.360280076384468,True,2026-06-12,,其他建材,
